ElementID,Type,Volume,Sxx,Syy,Szz,Sxy,Sxz,Syz,Exx,Eyy,Ezz,Exy,Exz,Eyz
188,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
189,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
190,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
191,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
192,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
193,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
194,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
195,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
196,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
197,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
198,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
199,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
200,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
201,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
202,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
203,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
204,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
205,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
